entry_id,dish_name,immigrant_community,transformation_type,source_name,source_type,author_background,year_published,url,origin_story_mentioned,origin_story_framing,authenticity_framing,notable_substitutions,community_credit_given,annotation_notes
OC-01,Orange Chicken,Chinese-American,Pure American Invention,Panda Express Official Website,Corporate/Brand,Corporate/Anonymous,2024,https://www.pandaexpress.com/menu/entrees/orange-chicken,No,omitted,not_mentioned,No traditional Chinese equivalent; sweet-sticky American sauce; heavily battered and fried,No,Panda Express positions it as their signature dish with no cultural origin context; no mention that the dish does not exist in China; brand mythology replaces cultural history
OC-02,Orange Chicken,Chinese-American,Pure American Invention,The Woks of Life,Community Food Blog,Community Member,2023,https://thewoksoflife.com/orange-chicken/,Yes,detailed_historical,distanced,Fresh orange peel instead of concentrate; lighter batter; less sugar; technique closer to Chinese frying methods,Yes,Explicitly states this is a Chinese-American invention with no Chinese equivalent; family of Chinese immigrants frames the dish as American-created; provides cultural commentary alongside recipe
OC-03,Orange Chicken,Chinese-American,Pure American Invention,AllRecipes,Mainstream Recipe Aggregator,Unknown/Community,2022,https://www.allrecipes.com/recipe/orange-chicken/,No,omitted,not_mentioned,Bottled orange sauce; cornstarch-heavy batter; high sugar; no technique notes,No,No historical or cultural context; recipe presented as generic; contributor anonymous; most-reviewed version reinforces perception of dish as simply Chinese
OC-04,Orange Chicken,Chinese-American,Pure American Invention,NYT Cooking,Mainstream Recipe Aggregator,Non-Community Food Writer,2024,https://cooking.nytimes.com/recipes/1024510-orange-chicken,Partial,simplified,distanced,Fresh orange juice; slightly reduced sweetness; wok technique mentioned,Partial,Brief headnote acknowledges Chinese-American restaurant origins without deeper history; framed as a better-than-takeout recipe; immigrant labor context absent
OC-05,Orange Chicken,Chinese-American,Pure American Invention,Serious Eats,Food Media,Non-Community Food Writer,2025,https://www.seriouseats.com/the-best-chinese-orange-chicken-recipe,Yes,detailed_historical,dismissed,Citrus acid balance discussed; temperature-controlled double-fry; sauce viscosity tested,Partial,Deep technical dive; acknowledges the dish is an American invention designed for American palates; authenticity treated as beside the point in favor of optimization; community credit partial
OC-06,Orange Chicken,Chinese-American,Pure American Invention,Eater,Food Media,Non-Community Food Writer/Journalist,2023,https://www.eater.com/23603484/panda-express-video-orange-chicken-history,Yes,detailed_historical,contested,N/A (food media article),Partial,"Contextualizes Orange Chicken within broader Chinese-American food history; discusses how immigrant restaurants adapted flavors to survive; explores tension between Chinese-American pride and dismissal of the dish, referring Panda Express"
OC-07,Orange Chicken,Chinese-American,Pure American Invention,TasteAtlas,Reference/Encyclopedia,Unknown/Editorial,2024,https://www.tasteatlas.com/orange-chicken,Yes,simplified,not_mentioned,N/A (reference entry),Partial,Lists as American-Chinese dish; credits Panda Express and Andrew Cherng; geographic origin given as United States; rating and description treat it as a legitimate Chinese-American category without deeper critique
OC-08,Orange Chicken,Chinese-American,Pure American Invention,Bon Appétit,Food Media,Non-Community Food Writer,2025,https://www.bonappetit.com/video/watch/ba-pilot-lucas-sin-x-panda-express,No,omitted,not_mentioned,Store-bought marmalade option; oven-baked variation; reduced oil,No,"Recipe-focused with no cultural framing; presented as comfort food without acknowledging American invention status; hig-end cinematographic video featuring ""Panda Express""'s orange chicken"
OC-09,Orange Chicken,Chinese-American,Pure American Invention,Made With Lau (YouTube),YouTube Cooking Channel,Community Member,2022,https://youtu.be/UwNBfslVRLc?si=y44e1qwH9G1CZkUo,Yes,detailed_historical,reclaimed,Fresh orange zest; balanced sweet-tart sauce; double-fry technique; moderate breading thickness,Yes,Father-son channel run by a Cantonese-American family; explicitly discusses how the dish was engineered for American palates with no Chinese precedent; celebrates it as a Chinese-American creation while teaching the technique with cultural pride; one of the few video sources that foregrounds community voice and generational immigrant perspective
FC-01,Fortune Cookie,Chinese-American,Misattribution (Japanese-American origin),The Food Timeline,Reference/Encyclopedia,Academic/Journalist,2023,https://www.foodtimeline.org/foodasian.html#fortunecookies,Yes,detailed_historical,claimed,American butter and vanilla absent in Japanese originals; thicker and sweeter than Japanese tsujiura senbei; machine-folded vs. hand-formed,Yes,References Jennifer 8. Lee's research; covers 1983 Court of Historical Review mock trial pitting SF against LA; traces origin to Makoto Hagiwara at Japanese Tea Garden; most rigorous sourcing of any entry in dataset
FC-02,Fortune Cookie,Chinese-American,Misattribution (Japanese-American origin),Smithsonian Magazine,Food Media/Journalism,Academic/Journalist,2011,https://www.smithsonianmag.com/arts-culture/cracking-open-the-history-of-fortune-cookies-28538557/,Yes,detailed_historical,corrective,N/A (article),Yes,Explicitly discusses Japanese-American origin controversy; notes Chinese-American community adopted the cookie post-WWII when Japanese businesses were shuttered; offers the most historically complete framing of any recipe source
FC-03,Fortune Cookie,Chinese-American,Misattribution (Japanese-American origin),Red House Spices,Community Food Blog,Community Member,2021,https://redhousespice.com/fortune-cookies/,Yes,detailed_historical,corrective,Eggs and butter in American version; machine-rolled vs. hand-folded in original Japanese versions; vanilla flavoring added,Yes,Detailed history of transformation from Japanese tsujiura senbei to Chinese-American restaurant staple; discusses WWII Japanese internment as key turning point; one of few recipe sites that foregrounds the misattribution
FC-04,Fortune Cookie,Chinese-American,Misattribution (Japanese-American origin),Eater,Food Media,Non-Community Food Writer/Journalist,2022,https://www.eater.com/22929419/gastropod-why-chinese-american-restaurants-serve-fortune-cookies-history,Yes,detailed_historical,contested,N/A (article),Yes,Discusses competing San Francisco vs. LA origin claims; notes that fortune cookies are foreign to people in China; places story in broader immigrant food history; excellent primary source for this entry
FC-05,Fortune Cookie,Chinese-American,Misattribution (Japanese-American origin),AllRecipes,Mainstream Recipe Aggregator,Unknown/Community,2023,https://www.allrecipes.com/recipe/275116/homemade-fortune-cookies/,No,omitted,claimed,All-purpose flour; vanilla flavoring; granulated sugar; community-style recipe with no provenance,No,Titled simply Fortune Cookies; presents as Chinese treat with no acknowledgment of Japanese-American origin; actively reinforces the misattribution through omission; most-viewed mainstream recipe
FC-06,Fortune Cookie,Chinese-American,Misattribution (Japanese-American origin),Food Network,Mainstream Recipe Aggregator,Non-Community Food Writer,2022,https://www.foodnetwork.com/recipes/fortune-cookies-5543742,Partial,mythologized,not_mentioned,Butter-based dough; Western spices; American-style sweetness,No,Vague mention of Chinese tradition with no further detail; no distinction between Japanese and Chinese origin; perpetuates the misattribution through uncritical association with Chinese cuisine
FC-07,Fortune Cookie,Chinese-American,Misattribution (Japanese-American origin),TasteAtlas,Reference/Encyclopedia,Unknown/Editorial,2024,https://www.tasteatlas.com/fortune-cookie,Yes,simplified,contested,N/A (reference entry),Partial,Lists as American with Chinese-American cultural association; notes contested origins; categorizes it as a Chinese-American food item which itself perpetuates the misattribution even while acknowledging the Japanese origin debate
FC-08,Fortune Cookie,Chinese-American,Misattribution (Japanese-American origin),Food52,Food Media,Non-Community Food Writer,2021,https://food52.com/recipes/26343-toasted-almond-fortune-cookies,Yes,omitted,not_mentioned,N/A (article),Yes,"Innovates the original recipes with ""Toasted Almond"" allegedly; no clear distinction from mainstream recipe except for added almond and renamed."
CP-01,Chicken Parmesan,Italian-American,American Invention (inspired by Italian technique),Lidia's Italy,Community Food Blog,Community Member (Italian-American chef),2023,https://lidiasitaly.com/recipes/chicken-parmigiana/,Yes,detailed_historical,reclaimed,Chicken breast replaces eggplant; abundant mozzarella; American portions; combined in one baked dish,Yes,Lidia Bastianich explicitly discusses how Italian-Americans substituted chicken for eggplant as meat became affordable; frames it as a proud Italian-American tradition; strongest community-insider framing in the Italian-American recipe sources
CP-02,Chicken Parmesan,Italian-American,American Invention (inspired by Italian technique),AllRecipes,Mainstream Recipe Aggregator,Unknown/Community,2023,https://www.allrecipes.com/recipe/223042/chicken-parmesan/,No,omitted,claimed,Jarred marinara; processed mozzarella; thick breading; American-scale portions,No,No cultural framing; titled The Best Chicken Parmesan; implicitly claims Italian authenticity without any historical context; most-reviewed version on the platform
CP-03,Chicken Parmesan,Italian-American,American Invention (inspired by Italian technique),NYT Cooking,Mainstream Recipe Aggregator,Non-Community Food Writer,2022,https://cooking.nytimes.com/recipes/1017169-chicken-parmesan,Partial,simplified,distanced,Fresh mozzarella instead of processed; homemade sauce; lighter breading,Partial,Brief note that the dish is Italian-American rather than Italian; recipe focuses on elevating the classic without deep cultural framing; acknowledges origin but does not explore immigrant labor context
CP-04,Chicken Parmesan,Italian-American,American Invention (inspired by Italian technique),Serious Eats,Food Media,Non-Community Food Writer,2023,https://www.seriouseats.com/the-best-chicken-parmesan-recipe,Yes,detailed_historical,dismissed,Parmesan in breading; San Marzano tomatoes; fresh basil; wok-seared chicken for crispness,Partial,Discusses Italian parmigiana tradition (eggplant/veal) and American chicken substitution; notes authenticity debate but dismisses it in favor of making the best possible version; community context present but secondary
CP-05,Chicken Parmesan,Italian-American,American Invention (inspired by Italian technique),Bon Appétit,Food Media,Non-Community Food Writer,2022,https://www.bonappetit.com/recipe/chicken-parmesan,No,omitted,not_mentioned,Thick mozzarella slices; extra sauce; American-scale portions; no technique notes,No,Presented as classic comfort food with no Italian-American cultural context; exemplifies how immigrant-origin dishes become de-culturalized and aestheticized in mainstream food media
